MMFE8 VMM CH  Gain      Pedestal  (TDO = time*G + P)
102   5   50  1.32e+00  1.25e+01  
102   5   51  1.34e+00  1.03e+01  
102   5   52  1.36e+00  9.98e+00  
102   5   54  1.51e+00  8.10e+00  
102   5   55  1.39e+00  8.57e+00  
102   5   56  1.52e+00  1.11e+01  
102   5   57  1.42e+00  1.33e+01  
102   5   58  1.41e+00  1.33e+01  
102   5   59  1.32e+00  1.15e+01  
102   5   60  1.39e+00  9.61e+00  
102   5   61  1.58e+00  1.23e+01  
102   5   62  1.39e+00  1.07e+01  
102   5   63  1.49e+00  1.23e+01  
102   5   64  1.38e+00  9.79e+00  
102   6   2   1.79e+00  3.37e+01  
102   6   3   1.46e+00  2.87e+01  
102   6   4   1.94e+00  2.48e+01  
102   6   5   1.62e+00  2.87e+01  
102   6   6   1.58e+00  2.82e+01  
102   6   7   1.88e+00  2.75e+01  
102   6   8   1.55e+00  2.46e+01  
102   6   9   1.42e+00  2.32e+01  
102   6   10  1.82e+00  2.53e+01  
102   6   11  1.80e+00  2.56e+01  
102   6   12  1.59e+00  2.12e+01  
102   6   13  1.61e+00  2.89e+01  
102   6   14  1.74e+00  3.03e+01  
102   6   15  1.81e+00  2.94e+01  
102   6   16  1.51e+00  2.71e+01  
102   6   17  1.63e+00  3.37e+01  
102   6   18  1.61e+00  2.79e+01  
102   6   19  1.83e+00  2.51e+01  
102   6   20  1.46e+00  2.78e+01  
102   6   22  1.58e+00  2.83e+01  
102   6   23  1.77e+00  3.39e+01  
102   6   24  1.67e+00  3.51e+01  
102   6   25  1.79e+00  3.37e+01  
102   6   26  1.68e+00  2.40e+01  
102   6   27  1.72e+00  3.45e+01  
102   6   28  1.69e+00  3.49e+01  
102   6   29  1.62e+00  2.88e+01  
102   6   30  1.75e+00  3.02e+01  
102   6   31  1.76e+00  3.00e+01  
102   6   32  1.51e+00  2.81e+01  
102   6   33  1.66e+00  3.22e+01  
102   6   34  1.46e+00  3.47e+01  
102   6   35  1.56e+00  2.54e+01  
102   6   36  1.63e+00  3.37e+01  
102   6   37  1.71e+00  2.86e+01  
102   6   38  1.99e+00  3.11e+01  
102   6   39  1.56e+00  2.55e+01  
102   6   40  1.61e+00  2.58e+01  
102   6   41  1.62e+00  2.18e+01  
102   6   42  1.77e+00  1.79e+01  
102   6   43  1.75e+00  1.81e+01  
102   6   44  2.00e+00  1.50e+01  
102   6   45  1.83e+00  2.52e+01  
102   6   46  1.69e+00  1.88e+01  
102   6   47  1.69e+00  2.09e+01  
102   6   48  1.69e+00  2.49e+01  
102   6   49  1.49e+00  2.14e+01  
102   6   50  1.72e+00  2.25e+01  
102   6   51  2.08e+00  2.30e+01  
102   6   52  1.79e+00  2.36e+01  
102   6   53  1.56e+00  2.45e+01  
102   6   54  1.73e+00  1.74e+01  
102   6   55  2.09e+00  1.69e+01  
102   6   56  1.70e+00  1.87e+01  
102   6   57  1.79e+00  2.56e+01  
102   6   58  1.84e+00  1.99e+01  
102   6   59  1.87e+00  1.67e+01  
102   6   60  1.85e+00  2.29e+01  
102   6   61  1.89e+00  2.14e+01  
102   6   62  1.84e+00  2.59e+01  
102   6   63  1.93e+00  2.29e+01  
102   6   64  1.83e+00  2.01e+01  
102   7   1   1.57e+00  2.54e+01  
102   7   2   1.56e+00  1.65e+01  
102   7   3   1.47e+00  1.76e+01  
102   7   4   1.58e+00  2.03e+01  
102   7   5   1.32e+00  1.85e+01  
102   7   6   1.75e+00  2.21e+01  
102   7   7   1.43e+00  2.21e+01  
