MMFE8 VMM CH  Gain      Pedestal  (PDO = Q*G + P)
105   0   55  9.15e+00  3.21e+01  
105   0   56  1.52e+01  -2.37e+01 
105   0   57  9.59e+00  -1.89e+01 
105   0   58  1.05e+02  2.98e+04  
105   0   59  8.74e+00  1.56e+01  
105   0   60  1.07e+01  -1.14e+01 
105   0   61  8.15e+00  3.19e+01  
105   1   1   9.52e+00  2.99e+01  
105   1   5   1.01e+01  2.20e+01  
105   1   6   1.07e+01  1.62e+01  
105   1   7   9.18e+00  2.50e+01  
105   1   11  9.00e+00  4.05e+00  
105   1   12  9.98e+00  6.92e+00  
105   1   17  1.07e+01  1.35e+01  
105   1   19  1.01e+01  6.51e+00  
105   1   20  1.04e+01  3.16e+00  
105   1   24  1.01e+01  8.36e+00  
105   1   25  9.85e+00  1.00e+01  
105   1   29  9.82e+00  -4.37e+00 
105   1   30  9.38e+00  1.17e+00  
105   1   31  1.18e+01  2.36e+01  
105   1   32  1.06e+01  1.01e+01  
105   1   33  1.09e+01  1.14e+00  
105   1   34  1.05e+01  4.56e+00  
105   1   37  1.15e+01  -2.75e+01 
105   1   38  1.14e+01  -1.24e+01 
105   1   39  9.76e+00  3.18e+00  
105   1   40  1.12e+01  -2.94e+00 
105   1   41  1.09e+01  2.11e+00  
105   1   42  9.82e+00  3.24e+00  
105   1   43  1.11e+01  3.24e+01  
105   1   44  1.16e+01  -8.22e+00 
105   1   45  1.29e+01  -7.21e-01 
105   1   46  1.14e+01  1.54e+01  
105   1   47  1.23e+01  -5.42e+00 
105   1   48  1.17e+01  1.72e+01  
105   1   49  1.04e+01  1.97e+01  
105   1   50  1.08e+01  2.22e+01  
105   1   51  1.10e+01  -1.05e+01 
105   1   52  9.30e+00  8.53e+00  
105   1   53  1.08e+01  2.74e+01  
105   1   54  1.08e+01  1.41e+01  
105   1   55  9.98e+00  5.21e+01  
105   1   56  1.03e+01  1.84e+01  
105   1   57  8.30e+00  3.01e+00  
105   1   58  9.50e+00  1.18e+01  
105   1   59  1.15e+01  2.35e+01  
105   1   60  1.13e+01  2.50e+01  
105   1   61  9.72e+00  1.92e+01  
105   1   62  1.00e+01  1.38e+01  
105   1   63  9.72e+00  6.97e+01  
105   1   64  9.40e+00  2.07e+01  
105   2   1   1.00e+01  2.76e+01  
105   2   3   1.08e+01  2.36e+01  
105   2   4   9.98e+00  2.34e+01  
105   2   5   8.50e+00  2.02e+01  
105   2   6   9.19e+00  2.58e+01  
105   2   10  2.25e+00  5.62e+01  
105   2   11  9.95e+00  2.22e+01  
105   2   12  9.41e+00  7.65e+00  
105   2   13  8.96e+00  2.04e+01  
105   2   14  1.02e+01  2.39e+01  
105   2   15  1.06e+01  1.42e+01  
105   2   16  1.06e+01  1.65e+01  
105   2   17  1.03e+01  2.04e+01  
105   2   19  1.07e+01  9.60e+00  
105   2   20  1.03e+01  1.81e+01  
105   2   21  1.26e+01  8.07e+00  
105   2   22  9.68e+00  7.36e+00  
105   2   23  1.02e+01  1.01e+01  
105   2   24  1.04e+01  7.77e+00  
105   2   25  9.91e+00  -5.27e+00 
105   2   26  8.94e+00  1.31e+01  
105   2   27  1.08e+01  1.11e+01  
105   2   28  1.05e+01  -1.93e+01 
105   2   29  9.83e+00  4.96e+00  
105   2   30  1.20e+01  -3.90e+01 
105   2   31  1.04e+01  8.50e+00  
105   2   32  1.02e+01  4.90e+00  
105   2   33  1.03e+01  1.77e+01  
105   2   34  1.33e+01  -5.13e+00 
105   2   35  1.14e+01  1.06e+01  
105   2   36  1.19e+01  2.15e+01  
105   2   38  1.01e+01  1.33e+01  
105   2   39  1.77e+01  1.40e+01  
105   2   40  1.00e+01  -1.35e+01 
105   2   41  1.07e+01  9.07e+00  
105   2   42  9.72e+00  2.06e+01  
105   2   43  1.02e+01  1.04e+01  
105   2   44  1.10e+01  -4.13e+00 
105   2   45  9.82e+00  1.10e+01  
105   2   47  9.32e+00  -1.58e+02 
105   2   48  1.01e+01  4.22e+01  
105   2   49  1.14e+01  -2.56e+00 
105   2   50  9.57e+00  3.02e+01  
105   2   51  8.87e+00  1.16e+01  
105   2   52  1.16e+01  -1.63e+00 
105   2   53  1.05e+01  2.00e+01  
105   2   54  9.99e+00  2.21e+01  
105   2   55  9.66e+00  1.83e+01  
105   2   56  1.11e+01  1.32e+01  
105   2   57  9.38e+00  1.29e+01  
105   2   58  1.07e+01  2.18e+01  
105   2   59  9.52e+00  2.25e+01  
105   2   60  9.88e+00  2.23e+01  
105   2   61  8.92e+00  2.77e+01  
105   2   62  1.71e+00  9.99e+01  
105   2   63  1.11e+01  2.08e+01  
105   2   64  1.01e+01  2.74e+01  
105   3   1   8.83e+00  1.53e+01  
105   3   2   8.36e+00  2.04e+01  
105   3   3   9.01e+00  1.84e+01  
105   3   4   5.89e+00  6.32e+00  
105   3   5   8.88e+00  1.89e+01  
105   3   6   9.15e+00  1.91e+01  
105   3   7   9.16e+00  1.40e+01  
105   3   8   9.12e+00  1.52e+01  
105   3   9   9.12e+00  1.20e+01  
105   3   11  9.46e+00  1.23e+01  
105   3   12  1.01e+01  1.79e+01  
